Mã căn / Mã căn hộ:,,title,Số phòng ngủ:,Tên phân khu/Lô/Block/Tháp:,Giấy tờ pháp lý:,Đặc điểm căn hộ:,Tình trạng bất động sản:,Mã lô:,Loại hình đất:,Diện tích:,Tầng số:,Tổng số tầng:,Chiều dài:,area,location,Chiều ngang:,Số phòng vệ sinh:,price,Hướng ban công:,Loại hình nhà ở:,Diện tích đất:,description,Giá/m2:,Tình trạng nội thất:,Diện tích sử dụng:,Hướng cửa chính:,Loại hình căn hộ:,Đặc điểm nhà/đất:,Loại hình văn phòng:
L53 - 07,,"TÔI CẦN Bán LẠI 120M2 ĐẤT , NGAY SIÊU THỊ BẾN CÁT",1 phòng,Block A,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,41 m²,11,7,24 m,- 120 m2,"Đường ĐT 741, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",5 m,1 phòng,780 triệu- 120 m2,Tây Nam,"Nhà ngõ, hẻm",120 m2,"tôi bán lại 120m2 đất , Gần siêu thị Bến Cát . đất sổ riêng ,thổ cư hết đất , xung quanh dân cư đông . KCN nhiều và rất gần , đất nằm trên mặt tiền đường lớn . nay cần tiền nên bán lại cho ai thiện chí","6,5 triệu/m2",Nội thất đầy đủ,82 m²,Đông Bắc,Chung cư,Mặt tiền,Mặt bằng kinh doanh
L53 - 07,,Thu hồi vốn bán gấp dãy trọ 16p Thu nhập 20tr/th,1 phòng,Block A,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,41 m²,11,7,30 m,- 450 m2,"Đường Quốc lộ 1K, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",15 m,1 phòng,2 tỷ- 450 m2,Tây Nam,"Nhà mặt phố, mặt tiền",450 m²,"Thu hồi vốn kinh doanh, 5 năm trước tôi có mua lô đất lớn để đầu tư, năm rồi tôi đã xây lên 1 dãy nhà trọ để dành cho con cái sau này, Nhưng hiện tại việc kinh doanh bị thua lỗ nặng, tôi cần 1 nguồn vốn để vực dậy. Tôi quyết định bán hết đất cả nhà trọ giá ưu đãi cho anh chị
- Nhà trọ 300m2 (10 x 30) gồm 16 phòng và 2 kiot, Kiot xây kiểu nhà ở có 2p ngủ, 2 wc rộng rãi. 
 + Mặt tiền đường 25m nối thẳng Chợ dân sinh, trường C1 C2 C3 trên 1 đoạn đường 1km.
 + Thu nhập mỗi tháng 20tr VNĐ. Có người quản lý trọ hàng ngày, anh chị không cần chạy lên chạy xuống
 + Giá 2 tỷ Còn thương lượng cho khách thiện chí mua nhanh
- Đất mặt tiền Kinh doanh 450m2 (15 x 30) Dân cư sầm uất, cách chợ chỉ 100m, Đường nhựa 25m .
 + Giá chỉ 8,6tr /m2 . Thương lượng nhẹ cho khách 
Tất cả sổ sách Đứng tên tôi. Không qua cò đất môi giới. Anh chị gặp trực tiếp xem sổ, định vị đất.
Cám ơn đã quan tâm","4,44 triệu/m²",Nội thất đầy đủ,450 m²,Đông Bắc,Chung cư,Mặt tiền,Mặt bằng kinh doanh
L53 - 07,,Bán gấp trong tháng nhà An dương vương 41m*4t. Oto,4 phòng,Block A,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,41 m²,11,7,30 m,- 41 m2,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",15 m,1 phòng,"2,4 triệu- 41 m2",Tây Nam,"Nhà ngõ, hẻm",41 m²,"HÀNG XÓM CIPUTRA - RẤT VÀ RẤT GẦN Ô TÔ - NGÕ ĐẸP - SÂN RỘNG - TẦM TIỀN BẠT NGÀN KHÁCH - BÁN GẤP TRONG THÁNG - ƯU TIÊN KHÁCH MUA Ở TRƯỚC TẾT- Miễn TG

🔥🔥Bán gấp nhà An Dương Vương 41m*4t. Mt 5.5m. Giá 2.4 tỷ thương lượng.
✅Mô tả:
- Vị trí cực đẹp, hàng xóm ciputra, khu vực đang phát triển như vũ bão, tiện ích ngút ngàn. Cạnh nhà bãi ô tô đỗ ngày đêm, nhà mình cách ô tô vài bước chân.
- NhàThiết kế hiện đại, 4 tầng chắc chắn, chủ xây được gần chục năm, khách mới về thay lớp áo mới là long lanh đón tết ngay😍.
- Sổ đỏ đẹp, sẵn sàng giao dịch
📲Lh : E Long",58.536 đ/m²,Nội thất đầy đủ,450 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
L53 - 07,,"Cực hiếm mặt phố Nguyễn Chánh 273m2, lô góc.",4 phòng,Block A,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,41 m²,11,4,30 m,- 273 m2,"Đường Nguyễn Chánh, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",22 m,1 phòng,97 tỷ- 273 m2,Tây Nam,"Nhà mặt phố, mặt tiền",273 m²,"Phố Nguyễn Chánh không có nhà thổ cư. Khu vực quy hoạch đồng bộ, dày đặc tòa Văn phòng các Cơ quan, Công ty lớn. Căn lô góc, vị trí độc tôn, đối diện Kiểm toán Nhà nước, Công viên Yên Hòa.
+ Diện tích 273m2, mặt tiền 22m, 4 tầng. Thiết kế vừa ở vừa Kinh doanh.
+ Giá 97 tỷ ( Thương lượng trực tiếp )
+ Sổ đỏ Chính chủ. Giao dịch nhanh gọn.","355,31 triệu/m²",Nội thất đầy đủ,273 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
L53 - 07,,Bán nhà Cầu Giấy-Gara-50m2-4m-Kinh doanh-6.9 tỷ,5 phòng,Block A,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,41 m²,11,4,30 m,- 48 m2,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",4 m,5 phòng,"6,9 tỷ- 48 m2",Tây Nam,"Nhà ngõ, hẻm",48 m²,"+Nằm trong khu vực trung tâm Cầu Giấy, Vị trí đẹp nhất ngõ, đi lại thuận lợi, giao thương hoặc cho thuê văn phòng thì tuyệt vời
+Diện tích 48m2, nhà 6 tầng, mặt tiền 4m khung cột bê tông chắc chắn. Nhà xây để ở chứ không xác định bán, do nhu cầu công việc cần nhà to hơn nên bán gấp. Giá chào 6.9 tỷ có thương lượng
+Nhà thiết kế hiện đại hợp lý.Tầng 1 gara thang bộ, WC
+Tầng 2 bếp và phòng khách
+Tầng 3,4,5 PN
+Tầng 6 sân phơi phòng thờ
+Sổ đỏ vuông như A4 
+Liên hệ để xem nhà miễn phí.","143,75 triệu/m²",Nội thất đầy đủ,50 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,Bán căn hộ cc Hoá An 60m2-2PN- giá tốt 680 triệu,2 phòng,Lô C,Đã có sổ,Căn góc,Đã bàn giao,72,Đất thổ cư,60 m²,4,4,30 m,- 60 m2,"Đường Nguyễn Ái Quốc, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",4 m,1 phòng,680 triệu- 60 m2,Tây Nam,"Nhà ngõ, hẻm",48 m²,"*️⃣ Vị trí: Mặt tiền đường Nguyễn Ái Quốc- cạnh công ty PouChen- chợ Hoá An- thuận tiện di chuyển đến Dĩ An- TP HCM
*️⃣ Diện tích : 60m2- gồm: 1 phòng khách- 2 phòng ngủ- Bếp- WC- có bãi xe máy & xe hơi bên dưới chung cư.
*️⃣ Phù hợp cho vợ chồng trẻ hoặc người thu nhập thấp muốn có 1 nơi an cư lạc nghiệp.
*️⃣ Pháp lý: Sổ hồng riêng- Chính chủ
*️⃣ Giá bán: 680 triệu (bớt lộc)- Tặng máy lạnh- máy nước nóng- bếp
*️⃣ Liên hệ gặp Ms Hạnh xem nhà :","11,33 triệu/m²",Nội thất đầy đủ,50 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,Căn hộ Cao cấp 42m² 1PN Gía rẻ !,1 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,30 m,- 42.5 m2,"Đường Thuận Giao 25, Phường Thuận Giao, Thị xã Thuận An, Bình Dương",4 m,1 phòng,800 triệu- 42.5 m2,Tây Nam,"Nhà ngõ, hẻm",48 m²,"Dự án: Căn Hộ cao cấp Thuận an.
 - Nằm ngay mặt tiền đường Thuận Giao 25. Đối Diện trường THCS thuận Giao ,Thuận Giao ,Thuận an , Bình Dương.
- Nằm ngay khu vực trung tâm , dân cư đông đúc , cách đường Mỹ Phước - Tân Vạn 700m . QL 13 1.5km.
- Chợ , Bệnh viện , trường học bán kính 1km đầy đủ .
- Tiện ích nội khu cao cấp như siêu thị, trường nầm non , hồ bơi , GYm ,SPA 
- Gía chỉ 800tr/căn 42.5m2 .
- pháp lý sạch 1/500. Giay phép xây dựng , ..
- Hỗ trợ ngân hàng 70% . Chủ đầu tư chịu lãi suất cho khách hàng đến khi nhận bàn giao căn hộ.
- Thanh toán linh hoạt trong 24 tháng .
 - NHận nhà ngay sau khi thanh toán 30% ( 200tr)
- Chiết khấu khủng cùng Hàng nghìn giải thưởng giá trị như 2 merceder 2.00...
- Có xe đưa đón khách hàng tham quan căn nhà mẫu hằng ngày , miễn phí.","19,05 triệu/m²",Hoàn thiện cơ bản,50 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,"Bán lô đất 1800m2 tại Đông Thanh, Lâm Hà,",1 phòng,Lô C,Đang chờ sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,65 m,- 1.801 m2,"đường xã, Xã Đông Thanh, Huyện Lâm Hà, Lâm Đồng",24 m,1 phòng,"1,6 tỷ- 1.801 m2",Tây Nam,"Nhà ngõ, hẻm",1801 m2,"Công ty BĐS Núi Xanh-Lâm Hà mở bán 2 lô đất tại Thanh Trì, Đông Thanh, Lâm Hà,Lâm Đồng.

+ LÔ 1: 24x65m diện tích dự tính: 1801m2 có sẵn 300m2 thổ cư

Giá bán: 1.6 tỷ có 24m mặt tiền

+ LÔ 2: 23x65m diện tích dự tính: 1747m2 hiện tại chưa có thổ cư.

Giá bán: 1.2 tỷ

Mặt đường bê tông 3.5m thông thoáng, view đất thoáng đẹp, đất bằng phẳng view đẹp , cuối đất có suối và có ao, cách đường nhựa 800m

Cách trung tâm TP. Đà Lạt 25km,

- Cách sân bay Liên Khương 22km,

- Cách khu du lịch thác Voi 1,5km.

Thích hợp ở, nghỉ dưỡng,...

- ACE thiện chí chỉ cần cọc 300-500tr sau 2 tháng ra sổ công chứng mới cần thanh toán hết tiền.

(cam kết không nâng giá bất động sản, thương lượng chính chủ).

Mọi chi tiết xin liên hệ: Mr-An",888.395 đ/m2,Hoàn thiện cơ bản,50 m²,Đông Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
P401,,"Nhà 1 lầu đang cho thuê , MT Đinh Đức Thện , SHR",2 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,10 m,- 40 m2,"Đường tĩnh 835, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",4 m,1 phòng,400 triệu- 40 m2,Tây Nam,"Nhà mặt phố, mặt tiền",40 m²,"Gia đình có căn nhà đang cho thuê 4tr/ tháng , một trệt lầu suốt như hình
Giá 429tr/ xem nhà có thể công chứng trong ngày 
Do gia đình đang kẹt tiền nên bán gấp có thể cho trả chậm nhưng không cho thương lượng giá rẽ quá rồi
Diện tích nhà 4x10 
Địa chỉ ngay cầu vượt Đinh Đức Thiện 
Đường nhựa trước nhà 5m có sân oto đậu thoải mái
Nhà như hình anh chị em xem kỹ rồi hãy gọi oke xuống coi tránh mất thời gian đôi bên xin cám ơn.
Cách chợ Bình Chánh 1km , Bình Tân , Quận 6 10 phút đi xe",10 triệu/m²,Hoàn thiện cơ bản,80 m²,Đông Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,"💥Nhà Mới TC 6*17m,hẻm Tây Sơn,gần Mai Hắc Đế,Hỗ T",2 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,10 m,- 102 m2,"tây sơn, Phường Tân Thành, Thành phố Buôn Ma Thuột, Đắk Lắk",4 m,2 phòng,"1,58 tỷ- 102 m2",Tây Nam,"Nhà ngõ, hẻm",102 m²,"💥Nhà Mới TC 6*17m,hẻm Tây Sơn,gần Mai Hắc Đế,Hỗ Trợ Vay,nhiều lô xung quanh

📞 Liên hệ: A Khoa 

Nhà 2 mặt tiền trước sau.
Nhà vị trí gần chợ mai Hắc Đế,
Thế đất bằng phẳng,dân cư đông đúc
Đất Gần chợ Mai Hắc Đế, Siêu thị Vinmast, BÁCH HÓA XANH
Gần các trường Mẫu giáo, cấp 1,2,3 đại học, cao đẵng... bán kính 1 km
Đường thông thoáng,đi ra Trung tâm Thành Phố, .
Đường rộng rãi xe oto di chuyển tốt
👉Nhà bao gồm,1 phóng khách,2 phòng ngủ,bếp,2 wc,phòng Thờ,sân bán tải
Đặc biệt:
*Thích hợp để ở,định cư lâu dài.
🏠Diện tích : 6*17m
🏠Hướng :Nam
🏠Pháp lý : thổ cư 40m2
🏠Giá : 1 tỷ 580tr
💥
🏡Nhà TC 100% Đông,5*22m,giá 1 tỷ 550tr,hẻm 40 vạn xuân
🌳Lô TC 5*26m,Đông,giá 1 tỷ 100tr,hẻm 115 Vạn Xuân
xuân
🌳Lô TC 5*50m,Tây,giá 1 tỷ 200tr,hẻm 165 Vạn Xuân,thông vành đai
🌳Lô TC 5*26m,Đông Nam,giá 920tr,hẻm Phùng Hưng gần chợ Đê
🌳Lô TC 5*20m,Đông Nam,giá 1 tỷ 450tr,Phùng Hưng gần chợ Đê
🌳Lô C4 TC 7*26 1 tỷ 450tr phùng hưng ngay vạn xuân.gía 1 ty 450tr
🌳Lô B5 TC 5*24m,Nam giá 920tr ,Thành Đồng Vạn Xuân
🌳Lô B9 TC 5*24m,Nam giá 1 tỷ 070tr ,Thành Đồng Vạn Xuân
🌳Lô TC C2 5*27m,Tây,giá 1 tỷ 350tr,QH đg còn dài 5*22m,mặt tiền Phùng Hưng,Thành Đồng Vạn Xuân
🌳Lô TC 2 mặt tiền C4 7*26m,Tây,giá 1 tỷ 450tr,mặt tiền Phùng Hưng,Thành Đồng Vạn Xuân
🌳Lô góc 2 mặt tiền 5*22m,Đông, giá 1tỷ 200trThành Đồng Vạn Xuân
🌳Lô TC 40m2 Tây, 5*50m,,giá 1 tỷ 200,,hẻm 167 Vạn Xuân thông vành đ","15,49 triệu/m²",Hoàn thiện cơ bản,80 m²,Đông,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,cần tiền bán rẻ mặt tiền đường nguyễn văn tư p 7,2 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,75 m,- 962 m2,"mặt tiền, Đường Nguyễn Văn Tư, Phường 7, Thành phố Bến Tre, Bến Tre",15 m,2 phòng,"10,58 tỷ- 962 m2",Tây Nam,"Nhà ngõ, hẻm",962 m2,"cuối năm kẹt tiền kinh doanh, cần bán rẻ mặt tiền đường nguyễn văn tư phường 7 tp bến tre
diện tích 962 m2 ngang 15 nở hậu 25 có 150m thổ cư
trên đất có nhà kiên cố để ở, có sẵn xưởng sản xuất kinh doanh các mặt hàng như dừa, bánh kẹo, làm nhà kho......
mặt tiền đường xe container thoải mái lên xuống hàng hóa
giá rẻ nhất khu vực 11tr/m
liên hệ chính chủ",11 triệu/m2,Hoàn thiện cơ bản,80 m²,Đông,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,"Bán nhà Quận 1, 5 tầng , HXH , 60m2, giá 13,5 tỷ.",5 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,10 m,- 60 m2,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",6 m,Nhiều hơn 6 phòng,"13,5 tỷ- 60 m2",Tây Nam,"Nhà ngõ, hẻm",60 m²,"+ Kết cấu: 1 trệt, 1 lửng, 2 lầu, sân thượng, 5PN, 3WC, không gian phòng khách cổ điển, giếng trời cực thoáng.

+Diện tích ngang khủng 6m * 10,8m.

+ 2 đầu nhà là HXH tránh đậu đổ thoải mái, đường xóm sạch sẽ.

+ Khu dân trí cao, toàn thượng lưu, quan chức, người nước ngoài lưu trú dài hạn. Homestay cực phát triển.

+ Vị trí đắt địa, 1 phút ra phố Tây, công viên lâu đời nhất Sài Gòn 23/9, chợ Bến Thành...tiện ích tiện lợi trung tâm chất lượng bậc nhất.

+ Gia thế các đời chủ từng là quan to, giáo sư, con cái học hành thành đạt, tậu về ắt phúc lộc trường tồn.

+ Khu vực từng là đất vàng cấp cho cán bộ, địa thế đất cao, không bao giờ ngập.

+ Sổ hồng tại gia, sẵn tiền công chứng trong ngày.",225 triệu/m²,Hoàn thiện cơ bản,300 m²,Đông,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,Bán Nhà 4 Tấm Đường Ô Tô Khu Vực Trung Tâm Gò Vấp.,4 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,12 m,- 43 m2,"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",4 m,3 phòng,"5,2 tỷ- 43 m2",Tây Nam,"Nhà mặt phố, mặt tiền",43 m²,"NHÀ 4 TẤM CHÍNH CHỦ TÂM HUYẾT F9 48m2 HẺM XE TẢI
Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh
Nhà 4 tấm 4m x12m NỞ HẬU hẻm xe hơi thông
Nhà xây mới 100%!
Nhà ngay trung tâm f9 Phạm văn Chiêu , hẻm thông xe hơi khu phân lô đồng bộ ! Nhà e xây dựng 4 tấm với phòng khách sang chảnh hiện đại , nhà bếp thoáng rộng rãi , với 4pn to đùng , 1 phòng thờ, 3 tolet , 2 sân thượng trước sau làm tiệc ngoài trời và trồng cây xanh ! xung quanh chợ , siêu thị , bách hoá xanh ...vvv ? Thích hợp mở tiệm Nail, tóc , buôn bán hàng online, cho thuê kinh doanh ....!
- Giá iu thương : 5,2 tỷ thương lương.","120,93 triệu/m²",Nội thất đầy đủ,148 m²,Nam,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
P401,,"Bán đất đg Trường Lưu, Long Trường, Quận 9, 53,5m2",4 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,13.3 m,- 53.5 m2,"Đường Trường Lưu, Phường Long Trường, Quận 9, Tp Hồ Chí Minh",4 m,3 phòng,"2,33 tỷ- 53.5 m2",Tây Nam,"Nhà mặt phố, mặt tiền",53.5 m2,"👉 Bán đất KDC Phố Đông đường Trường Lưu, P. Long Trường, Quận 9 (đường nhựa 9m thông qua dự án CENTANA ĐIỀN PHÚC THÀNH).
- Diện tích và giá bán:
📌Lô A16: diện tích 57,2m2. Giá 2,58 Tỷ.
📌Lô A19: diện tích 59m2. Giá 2,55 Tỷ.
📌Lô A29: diện tích 53,5m2. Giá 2,32 Tỷ.
📌Lô B02: diện tích 65,6m2. Giá 2,55 Tỷ.","43,96 triệu/m2",Nội thất đầy đủ,148 m²,Đông Nam,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,"bán nhà kiệt Nguyễn Nhàn 75m, Cẩm Lệ",2 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,15 m,- 75 m2,"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",5 m,2 phòng,"1,77 tỷ- 75 m2",Tây Nam,"Nhà ngõ, hẻm",75 m²,"Nhà c4 kiệt cách mạng T8 , gác lửng đúc , H bắc, dt 71m giá 1720 
Nhà c4 kiệt Nguyễn Nhàn , dt 136m , 3 phòng ngủ, đông nam kiệt cách đường 100m rộng rãi. 2,1 tỷó thương lượng
Nhà c4 kiệt Hồ Sĩ Dương , dt 80m 2 phòng ngủ giá 1,52 tỷ
Nhà 2 tầng kiệt Bình thái 3 dt 96m 3 phòng ngủ, hướng nam, kiệt cách đường 70m giá 2,2 tỷ.
Nhà 2 tầng bầu gia 1 dt 90m 3 phòng ngủ, H bắc, giá 2860
Nhà c4 Phong bắc 1 ,, dt 100m H tây, giá 2600
Đất mặt tiền bình thái 4 dt 83m nở hậu H đông nam, đường 5m, giá 1860
Đất kiệt ô tô thông Phạm Viết chánh dt 100m nở hậu giá 1850","23,6 triệu/m²",Nội thất đầy đủ,150 m²,Tây Bắc,Chung cư,Nở hậu,Mặt bằng kinh doanh
P401,,Tôi chính chủ cần bán mặt tiền Bàu Lách thổ cư,2 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,60 m,- 473 m2,"Đường Bàu Lách, Xã Phạm Văn Cội, Huyện Củ Chi, Tp Hồ Chí Minh",7.8 m,2 phòng,2 tỷ- 473 m2,Tây Nam,"Nhà ngõ, hẻm",473 m2,"Dự án: Do kẹt tiên tôi cần bán nhanh đất mặt tiền Bàu Lách thổ cư.
 Thông tin chi tiết: Tôi chính chủ cần bán nhanh đất mặt tiền Bàu Lách

DT 7.8m x 60m = 473m có 100m thổ cư. Năm cách đường PVC 150m

mặt tiền Bàu Lách kinh doan buôn bán thông ra Tỉnh Lộ 15.
dân cư hiện hửu, sổ hồng riêng
do kẹt tiền bán nhanh cần công việc
Gía bán trong tháng 2ty Lh gặp tôi Nhớ xem đất","4,23 triệu/m2",Nội thất đầy đủ,150 m²,Tây Bắc,Chung cư,Mặt tiền,Mặt bằng kinh doanh
P401,,Nhà Minh Khai ô tô tránh 20m 30mx3T mt3.4m 2.1 tỷ,3 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,60 m,- 30 m2,"Đường Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",7.8 m,2 phòng,"2,1 tỷ- 30 m2",Tây Nam,"Nhà ngõ, hẻm",30 m²,"Chủ cần tiền bán nhà kề cận khu đô thị mới đang thi công với các thông số sau:
+ Diện tích: 30m2 x 3 tầng.
+ Mặt tiền: 3.4m.
Nhà được thiết kế hợp lý hiện đại, công năng sử dụng hợp lý và không gian thoáng đãng.
Nhà nằm trong khu vực hưởng lợi từ KĐT cận kề nên hầu hết nhà trong khu là nhà mới xây kiểu hiện đại kiên cố có thiết kế đẹp và cao tầng. Dân cư thân thiện và sinh hoạt công cộng rất văn minh. 
+ Sổ đỏ vuông đẹp, chủ sẵn sàng giao dịch.
+ Giá bán: 2.1 tỷ (có thương lượng)
+ Liên hệ ngay khi đọc tin này, vì nhà giá bình dân thường bay nhanh lắm! 
KTS Hà - Lưu 
20 năm ngành XDCB có thông tin nguồn nhà thổ cư tốt Hà Nội. 100% miễn phí xem mua nhà.
Tư vấn kiến trúc & phong thủy chuyên nghiệp.
(Miễn trung gian môi giới)",70 triệu/m²,Nội thất đầy đủ,30 m²,Tây Bắc,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
P401,,Nhà mới hẽm 5m vị trí đẹp xát đường liên ấp 123,2 phòng,Lô C,Giấy tờ khác,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,10 m,- 40 m2,"A5/51, Đường Liên Ấp 1-2-3, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",4 m,2 phòng,"1,35 tỷ- 40 m2",Tây Nam,"Nhà ngõ, hẻm",40 m²,bán nhà mới vị trí đẹp gần chợ ấp 1 vĩnh lộc A diện tích 4x10 gác lửng một phòng khách hai phòng ngũ hai tole một bếp nội thất cao cấp gần bách hoá xanh khu dân cư hiện hửu giấy tờ hợp lệ giá bán 1tỷ 350 triệu liên hệ 09373618**,"33,75 triệu/m²",Nội thất đầy đủ,60 m²,Đông,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
P401,,Bán nhà mặt tiền 1 trệt 2 lầu sổ hồng riêng,3 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,13 m,- 48 m2,"Đường Thạnh Lộc, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",4 m,3 phòng,"2,5 tỷ- 48 m2",Tây Nam,"Nhà mặt phố, mặt tiền",48 m²,"do gia đình em gần tết cần tiền nên em cần bán căn nhà 1 trệt 2 lầu góc 2 mặt tiền kinh doanh mua bán được
nhà 3 phòng ngủ 3wc diện tích nhà ngang 3.8 dài 13 cộng nhận 48m 

nhà măt tiền đường thông cách gò vấp 3 phút đi xe 
giá bán 2 tỷ 5 thương lượng cho khách thiện chí cần mua nhà thật sự 
thông tin em đúng nhà đúng giá 
ai cần liên hệ em","52,08 triệu/m²",Nội thất đầy đủ,144 m²,Đông,Chung cư,Hẻm xe hơi,Mặt bằng kinh doanh
P401,,"Đất 85m²đường 05 Đỗ Hành, đường 11m",3 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,17 m,- 85 m2,"đường Đỗ Hành, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",5 m,3 phòng,4 tỷ- 85 m2,Tây Nam,"Nhà mặt phố, mặt tiền",85 m2,"Đất đường đỗ hành đường 11m, gần đường lớn Trần Hưng đạo,","47,06 triệu/m2",Nội thất đầy đủ,144 m²,Bắc,Chung cư,Mặt tiền,Mặt bằng kinh doanh
P401,,"Siêu phẩm tuyến 2 đường máng, Vĩnh Khê, An Đồng",3 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,17 m,- 97 m2,"Đường Vĩnh Khê, Xã An Đồng, Huyện An Dương, Hải Phòng",5 m,3 phòng,"2,05 tỷ- 97 m2",Tây Nam,"Nhà mặt phố, mặt tiền",97 m2,"Siêu phẩm tuyến 2 đường máng, Vĩnh Khê, An Đồng, An Dương
- Diện tích 97m2 ngang 5m
- Đường trước nhà 6m
- Cách đường máng chỉ 30m một quặt là đến
- Cách cổng chính hoàng huy chỉ hơn trăm mét
- Cách trường, chợ, UB chỉ một phút đi xe
☘️ Sản phẩm cực phù hợp cho khách hàng nhanh tay mua đất xây nhà ở, nhà nghỉ hoặc đầu tư ngắn hạn 
Hướng Đông 
Giá 2,05 tỉ","21,13 triệu/m2",Nội thất đầy đủ,144 m²,Đông,Chung cư,Mặt tiền,Mặt bằng kinh doanh
P401,,Kẹt tiền bán gấp lô đất gần quốc lộ giá rẽ,3 phòng,Lô C,Đã có sổ,Căn góc,Chưa bàn giao,72,Đất thổ cư,42.5 m²,4,4,40 m,- 200 m2,"Đường D10, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",5 m,3 phòng,700 triệu- 200 m2,Tây Nam,"Nhà mặt phố, mặt tiền",200 m2,"cần tiền cần bán gấp đất dân sổ sẵn gần trường học Lai Uyên, diện tích 200m2 giá 700tr, ngân hàng hỗ trợ 50% (chỉ cần 375tr), dân cư sầm uất tiện ích đầy đủ, cách Quốc Lộ 13 2km, gần chợ, trường học, trạm y tế Lai Uyên.
Mua ở or đầu tư quá ok 
muốn ddi xem đất thì alo tôi","3,5 triệu/m2",Nội thất đầy đủ,144 m²,Đông,Chung cư,Mặt tiền,Mặt bằng kinh doanh
